Row Labels,Count of movie_id,tite
2872732,1154,Lucy
5052448,1147,Get Out
451279,1141,Wonder Woman
2379713,1118,Spectre
2024469,1117,Non-Stop
1024648,1114,Argo
2096673,1086,Inside Out
1690953,1086,Despicable Me 2
1065073,1081,Boyhood
4972582,1080,Split
1951261,1078,The Hangover Part III
2582846,1045,The Fault in Our Stars
2911666,1044,John Wick
470752,1043,Ex Machina
1091191,1032,Lone Survivor
4034228,1025,Manchester by the Sea
3682448,1024,Bridge of Spies
1817273,1020,The Place Beyond the Pines
455944,1020,The Equalizer
2820852,1019,Furious 7
3263904,1019,Sully
2250912,1001,Spider-Man: Homecoming
1840309,982,Divergent
5027774,981,"Three Billboards Outside Ebbing, Missouri"
1587310,977,Maleficent
3748528,958,Rogue One: A Star Wars Story
2948356,954,Zootopia
2381249,953,Mission: Impossible - Rogue Nation
3076658,952,Creed
1490017,949,The Lego Movie
2194499,935,About Time
1453405,933,Monsters University
1825683,932,Black Panther
454876,927,Life of Pi
111161,922,The Shawshank Redemption
1396484,920,It
2334879,919,White House Down
1790864,919,The Maze Runner
1596363,919,The Big Short
3397884,914,Sicario
3741834,911,Lion
1623205,910,Oz: The Great and Powerful
2109248,899,Transformers: Age of Extinction
1211956,894,Escape Plan
1959490,885,Noah
3896198,884,Guardians of the Galaxy Vol. 2
1253863,881,300: Rise of an Empire
1234721,879,RoboCop
1210819,878,The Lone Ranger
3183660,874,Fantastic Beasts and Where to Find Them
1798684,871,Southpaw
3385516,865,X-Men: Apocalypse
1272878,864,2 Guns
3501632,859,Thor: Ragnarok
1355644,855,Passengers
4154756,844,Avengers: Infinity War
2788710,839,The Interview
2245084,836,Big Hero 6
3040964,835,The Jungle Book
4550098,833,Nocturnal Animals
4160708,829,Don't Breathe
2310332,828,The Hobbit: The Battle of the Five Armies
790724,827,Jack Reacher
1980209,826,Pain & Gain
1650554,821,Kick-Ass 2
2140479,820,The Accountant
2053463,819,Side Effects
1213663,815,The World's End
2334873,813,Blue Jasmine
1659337,812,The Perks of Being a Wallflower
2883512,810,Chef
2294449,806,22 Jump Street
2184339,802,The Purge
1872194,798,The Judge
5580390,789,The Shape of Water
1675434,789,The Intouchables
1179933,787,10 Cloverfield Lane
2404463,781,The Heat
1815862,768,After Earth
2004420,764,Neighbors
4975722,754,Moonlight
2381941,752,Focus
1638355,752,The Man from U.N.C.L.E.
2234155,746,The Internship
1375666,736,Inception
2369135,734,Need for Speed
2357129,733,Jobs
2229499,722,Don Jon
1935179,722,Mud
903624,713,The Hobbit: An Unexpected Journey
4425200,705,John Wick: Chapter 2
3731562,704,Kong: Skull Island
2080374,704,Steve Jobs
1907668,703,Flight
1790885,701,Zero Dark Thirty
2582782,696,Hell or High Water
3799694,689,The Nice Guys
2209764,689,Transcendence
2380307,684,Coco
2140373,683,Saving Mr. Banks
2527336,680,Star Wars: The Last Jedi
1731141,680,Ender's Game
1288558,678,Evil Dead
974015,676,Justice League
3079380,670,Spy
3450958,667,War for the Planet of the Apes
1583421,666,G.I. Joe: Retaliation
3110958,663,Now You See Me 2
1911644,661,The Call
3065204,660,The Conjuring 2
1924429,658,Trance
1340138,658,Terminator Genisys
6644200,646,A Quiet Place
1291150,645,Teenage Mutant Ninja Turtles
1398426,645,Straight Outta Compton
109830,640,Forrest Gump
2674426,636,Me Before You
1204975,635,Last Vegas
1959563,631,The Hitman's Bodyguard
110912,631,Pulp Fiction
5442430,627,Life
1392170,622,The Hunger Games
1823672,621,Chappie
482571,620,The Prestige
5362988,619,Wind River
4925292,616,Lady Bird
2106476,614,The Hunt
2446042,613,Taken 3
114369,609,Se7en
1321870,607,Gangster Squad
1588173,606,Warm Bodies
4630562,604,The Fate of the Furious
1980929,603,Begin Again
2126355,603,San Andreas
2771200,602,Beauty and the Beast
4846340,595,Hidden Figures
137523,592,Fight Club
4196776,591,Jason Bourne
1706620,591,Snowpiercer
1229340,591,Anchorman 2: The Legend Continues
1951266,586,The Hunger Games: Mockingjay - Part 2
481499,585,The Croods
468569,584,The Dark Knight
2283362,582,Jumanji: Welcome to the Jungle
1390411,581,In the Heart of the Sea
114814,579,The Usual Suspects
2042568,576,Inside Llewyn Davis
4857264,575,The Invisible Guest
2361509,568,The Intern
1411250,568,Riddick
2005151,567,War Dogs
816442,566,The Book Thief
2381111,565,Brooklyn
1821549,565,Nebraska
407887,565,The Departed
1790809,564,Pirates of the Caribbean: Dead Men Tell No Tales
50083,563,12 Angry Men
1856101,560,Blade Runner 2049
1327773,559,The Butler
1772341,558,Wreck-It Ralph
1335975,551,47 Ronin
361748,548,Inglourious Basterds
1485796,547,The Greatest Showman
1371111,547,Cloud Atlas
1939659,546,Carrie
68646,546,The Godfather
1100089,543,Foxcatcher
2557490,539,A Million Ways to Die in the West
2226417,537,Insidious: Chapter 2
5109784,536,mother!
1809398,536,Unbroken
1345836,535,The Dark Knight Rises
2431286,532,Philomena
2404435,531,The Magnificent Seven
2543472,530,Wonder
1860357,527,Deepwater Horizon
3631112,526,The Girl on the Train
1821694,524,RED 2
169547,524,American Beauty
3488710,521,The Walk
1727388,521,The Way Way Back
1205537,521,Jack Ryan: Shadow Recruit
2316204,520,Alien: Covenant
2277860,520,Finding Dory
3521164,519,Moana
1707386,519,Les Misrables
1130884,518,Shutter Island
3640424,516,Allied
1646971,514,How to Train Your Dragon 2
2023587,513,Mama
1433811,512,Disconnect
3402236,507,Murder on the Orient Express
3316960,507,Still Alice
110413,506,Leon: The Professional
2719848,504,Everest
102926,504,The Silence of the Lambs
803096,501,Warcraft
1489889,500,Central Intelligence
2692904,498,Locke
4178092,497,The Gift
209144,496,Memento
1972591,494,King Arthur: Legend of the Sword
1924396,494,The Best Offer
1649419,493,The Impossible
3553976,492,Captain Fantastic
1074638,491,Skyfall
268978,491,A Beautiful Mind
4555426,490,Darkest Hour
1655441,490,The Age of Adaline
99685,490,GoodFellas
4649466,488,Kingsman: The Golden Circle
3300542,488,London Has Fallen
1855199,483,End of Watch
2177771,482,The Monuments Men
1606378,481,A Good Day to Die Hard
848228,481,The Avengers
2446980,480,Joy
3569230,478,Legend
5463162,475,Deadpool 2
2637276,475,Ted 2
2660888,474,Star Trek Beyond
2908446,474,Insurgent
1951265,474,The Hunger Games: Mockingjay - Part 1
2101441,474,Spring Breakers
1276104,474,Looper
2024432,473,Identity Thief
2397535,471,Predestination
918940,469,The Legend of Tarzan
810819,468,The Danish Girl
1931533,464,Seven Psychopaths
264464,462,Catch Me If You Can
2404311,461,The Family
1355683,457,Black Mass
3235888,456,It Follows
780504,456,Drive
2241351,455,Money Monster
477348,455,No Country for Old Men
790736,453,R.I.P.D.
2293640,452,Minions
2191701,452,Grown Ups 2
1924435,450,Let's Be Cops
1351685,450,Jack the Giant Slayer
2094766,449,Assassin's Creed
1602613,449,Only God Forgives
2193215,445,The Counselor
119217,445,Good Will Hunting
1600196,444,The Drop
1291584,444,Warrior
3464902,443,The Lobster
3063516,443,Jackass Presents: Bad Grandpa
1700841,443,Sausage Party
2671706,442,Fences
4052882,441,The Shallows
73486,441,One Flew Over the Cuckoo's Nest
5700672,439,Train to Busan
2333784,438,The Expendables 3
1682180,438,Stoker
3774114,437,Snowden
1428538,437,Hansel & Gretel: Witch Hunters
2975578,432,The Purge: Anarchy
338013,432,Eternal Sunshine of the Spotless Mind
1677720,431,Ready Player One
105236,431,Reservoir Dogs
2322441,429,Fifty Shades of Grey
1206543,426,Out of the Furnace
2316411,424,Enemy
3322940,424,Annabelle
2312718,424,Homefront
1964418,424,Tomorrowland
1628841,424,Independence Day: Resurgence
1322269,422,August: Osage County
120586,420,American History X
3532216,419,American Made
2406566,419,Atomic Blonde
2704998,416,Game Night
1528100,416,Exodus: Gods and Kings
253474,416,The Pianist
2345759,414,The Mummy
3322364,405,Concussion
2798920,405,Annihilation
1267297,405,Hercules
4046784,404,Maze Runner: The Scorch Trials
1921064,402,Pompeii
365907,402,A Walk Among the Tombstones
2364841,398,Runner Runner
2209418,398,Before Midnight
75314,398,Taxi Driver
1219827,397,Ghost in the Shell
1617661,397,Jupiter Ascending
2132285,396,The Bling Ring
1289401,396,Ghostbusters
443272,396,Lincoln
3062096,394,Inferno
829150,394,Dracula Untold
3531824,393,Nerve
5580036,392,"I, Tonya"
2172934,392,3 Days to Kill
4481414,391,Gifted
1781922,391,No Escape
2305051,390,Wild
758758,389,Into the Wild
2334649,388,Fruitvale Station
3011894,386,Wild Tales
2017038,386,All Is Lost
1450321,386,Filth
1446714,385,Prometheus
2180411,384,Into the Woods
800369,384,Thor
2199571,383,Run All Night
2402927,382,Carol
180093,381,Requiem for a Dream
5519340,380,Bright
1853739,380,You're Next
1661199,380,Cinderella
458481,380,Sin City: A Dame to Kill For
5311514,379,Your Name.
2503944,376,Burnt
1972571,374,A Most Wanted Man
948470,373,The Amazing Spider-Man
2709768,372,The Secret Life of Pets
1549920,372,The Last Stand
120815,372,Saving Private Ryan
5726616,371,Call Me by Your Name
453562,370,42
1538403,369,The Mortal Instruments: City of Bones
81505,369,The Shining
2321549,367,The Babadook
1255953,367,Incendies
1502712,367,Fantastic Four
3521126,365,The Disaster Artist
116282,365,Fargo
108052,364,Schindler's List
1343727,363,Dredd
172495,362,Gladiator
113277,362,Heat
434409,361,V for Vendetta
1408253,360,Ride Along
1981677,359,Pitch Perfect
1637725,359,Ted
1318514,357,Rise of the Planet of the Apes
1517260,357,The Host
1172049,355,Demolition
118715,355,The Big Lebowski
76759,354,Star Wars
5512872,353,Be Somebody
2203939,353,The Other Woman
1904996,352,Parker
3203606,351,Trumbo
1714206,351,The Spectacular Now
3393786,349,Jack Reacher: Never Go Back
1922777,349,Sinister
1219289,349,Limitless
1365050,349,Beasts of No Nation
4276820,346,The Founder
1020072,345,Selma
371746,344,Iron Man
443706,343,Zodiac
469494,342,There Will Be Blood
372784,342,Batman Begins
2170593,341,St. Vincent
2370248,340,Short Term 12
2096672,340,Dumb and Dumber To
1212450,340,Lawless
120689,340,The Green Mile
1323594,338,Despicable Me
458339,336,Captain America: The First Avenger
1086772,336,Blended
144084,336,American Psycho
2265171,334,The Raid 2
1232829,334,21 Jump Street
882977,334,Snitch
2170439,333,Horrible Bosses 2
120382,332,The Truman Show
2387559,331,Delivery Man
2278871,331,Blue Is the Warmest Color
5462602,330,The Big Sick
1758830,329,This Is 40
2106361,328,Into the Storm
1126590,328,Big Eyes
2387433,326,Dark Skies
54215,326,Psycho
1397280,325,Taken 2
1365519,324,Tomb Raider
6294822,323,The Post
2388715,323,Oculus
1259521,323,The Cabin in the Woods
2994190,322,Camp X-Ray
1605783,322,Midnight in Paris
119488,322,L.A. Confidential
3007512,320,The Water Diviner
2554274,320,Crimson Peak
2561572,319,Get Hard
2884206,318,I Origins
1491044,317,The Iceman
208092,317,Snatch
1560747,316,The Master
3152624,315,Trainwreck
1528854,315,Daddy's Home
796366,315,Star Trek
4572514,314,Patriots Day
1748122,314,Moonrise Kingdom
364569,314,Oldboy
112471,314,Before Sunrise
1935859,313,Miss Peregrine's Home for Peculiar Children
1235522,313,Broken City
790628,313,The Incredible Burt Wonderstone
1205489,312,Gran Torino
947798,312,Black Swan
2338151,311,PK
5140878,309,Annabelle: Creation
1764234,309,Killing Them Softly
1854564,309,Percy Jackson: Sea of Monsters
1441395,309,Under the Skin
4094724,308,The Purge: Election Year
6265828,308,A Ghost Story
1536537,308,What Happened to Monday
1878870,307,The Edge of Seventeen
2101341,307,Dead Man Down
4786282,306,Lights Out
2568862,306,Going in Style
5022702,305,Hush
2390361,305,Enough Said
2057392,305,Eye in the Sky
2120120,304,Pixels
86250,304,Scarface
5074352,303,Dangal
1454029,303,The Help
4263482,302,The Witch
1228705,302,Iron Man 2
4116284,301,The Lego Batman Movie
1306980,300,50/50
475290,300,"Hail, Caesar!"
120737,300,The Lord of the Rings: The Fellowship of the Ring
4302938,299,Kubo and the Two Strings
4172430,298,13 Hours: The Secret Soldiers of Benghazi
83658,298,Blade Runner
2545118,297,Blackfish
490215,297,Silence
2582496,296,Me and Earl and the Dying Girl
1524930,296,Vacation
1418377,295,"I, Frankenstein"
848537,295,Epic
975645,295,Hitchcock
332280,295,The Notebook
1469304,294,Baywatch
4651520,293,Bad Moms
1504320,293,The King's Speech
945513,293,Source Code
3544112,292,Sing Street
3874544,292,The Boss Baby
3470600,292,Sing
88847,292,The Breakfast Club
4513674,291,Caf Society
5439796,291,Logan Lucky
105323,291,Scent of a Woman
245429,290,Spirited Away
167260,290,The Lord of the Rings: The Return of the King
71562,290,The Godfather: Part II
1619029,289,Jackie
457430,289,Pan's Labyrinth
91042,286,Ferris Bueller's Day Off
2179116,285,The Kings of Summer
118799,285,Life Is Beautiful
1210166,284,Moneyball
1570728,284,"Crazy, Stupid, Love."
246578,284,Donnie Darko
162222,282,Cast Away
2848292,281,Pitch Perfect 2
2980592,281,The Guest
4501244,280,Why Him?
1702439,280,Safe Haven
405159,280,Million Dollar Baby
317248,280,City of God
66921,280,A Clockwork Orange
5776858,279,Phantom Thread
206634,279,Children of Men
421715,278,The Curious Case of Benjamin Button
327056,277,Mystic River
1615160,276,The Foreigner
2034800,275,The Great Wall
1711425,275,21 & Over
435651,275,The Giver
60196,273,"The Good, the Bad and the Ugly"
88763,271,Back to the Future
80684,271,The Empire Strikes Back
4209788,269,Molly's Game
3371366,269,Transformers: The Last Knight
266697,269,Kill Bill: Vol. 1
3967856,268,Okja
2025690,268,The Finest Hours
1648190,268,The Dark Tower
1270798,268,X-Men: First Class
3381008,267,Grimsby
1726592,267,Before I Go to Sleep
454921,266,The Pursuit of Happyness
5715874,265,The Killing of a Sacred Deer
3316948,265,American Ultra
2358891,265,The Great Beauty
117951,265,Trainspotting
167404,265,The Sixth Sense
5649144,264,The Florida Project
2873282,264,Red Sparrow
2763304,262,T2 Trainspotting
1241317,262,Death Note
1250777,262,Kick-Ass
1590193,262,The Commuter
3881784,261,Stronger
1591095,261,Insidious
4682786,260,Collateral Beauty
1956620,260,Sex Tape
133093,259,The Matrix
1355630,257,If I Stay
4881806,256,Jurassic World: Fallen Kingdom
1083452,256,Eddie the Eagle
1979388,255,The Good Dinosaur
2567712,254,Starred Up
1119646,254,The Hangover
405094,254,The Lives of Others
2005374,253,The Frozen Ground
112573,253,Braveheart
1937149,252,The Body
450259,252,Blood Diamond
211915,252,Amlie
3778644,251,Solo: A Star Wars Story
1937390,251,Nymphomaniac: Vol. I
167261,251,The Lord of the Rings: The Two Towers
112641,251,Casino
1899353,250,The Raid
840361,250,The Town
3416532,249,A Monster Calls
2039393,249,The Gambler
452623,249,Gone Baby Gone
1893256,248,Hummingbird
1860213,248,Dirty Grandpa
1109624,247,Paddington
38650,247,It's a Wonderful Life
86190,247,Return of the Jedi
3882082,246,The Boy
1800246,246,That Awkward Moment
93058,246,Full Metal Jacket
1291580,245,Behind the Candelabra
120863,245,The Thin Red Line
86879,245,Amadeus
2547584,244,The Light Between Oceans
1568346,244,The Girl with the Dragon Tattoo
47396,244,Rear Window
4438848,242,Neighbors 2: Sorority Rising
2002718,240,Machete Kills
4698684,239,Hunt for the Wilderpeople
884732,239,The Wedding Ringer
381681,239,Before Sunset
2937898,238,A Most Violent Year
1860353,238,Turbo
1723811,238,Shame
1333125,238,Movie 43
469021,238,Alan Partridge: Alpha Papa
780536,238,In Bruges
120915,238,Star Wars: Episode I - The Phantom Menace
1285016,237,The Social Network
107290,236,Jurassic Park
139654,236,Training Day
2125608,235,Searching for Sugar Man
335266,235,Lost in Translation
4633690,234,Shot Caller
4062536,234,Green Room
3312830,234,Youth
1182345,234,Moon
964517,234,The Fighter
914798,234,The Boy in the Striped Pyjamas
362227,234,The Terminal
2304933,233,The 5th Wave
1638002,233,"Love, Rosie"
1446192,233,Rise of the Guardians
121766,233,Star Wars: Episode III - Revenge of the Sith
120338,233,Titanic
3691740,232,The BFG
1321511,232,Oldboy
1542344,232,127 Hours
1386703,232,Total Recall
1832382,231,A Separation
1712261,231,Triple 9
1605717,231,Frank
3567288,230,The Visit
1742334,230,Sabotage
1661382,230,Grudge Match
95953,230,Rain Man
3622592,229,Paper Towns
361862,229,The Machinist
2980210,228,A Hologram for the King
3097204,228,The Inbetweeners 2
878804,228,The Blind Side
2377322,227,Deliver Us from Evil
2980648,227,The Hundred-Foot Journey
2381991,226,The Huntsman: Winter's War
2679042,226,Hitman: Agent 47
1714915,226,Only Lovers Left Alive
2224026,226,Home
1355631,226,The Infiltrator
1234719,226,Red Dawn
1217209,225,Brave
1674771,224,Entourage
1197624,224,Law Abiding Citizen
1559547,224,Beautiful Creatures
1194173,224,The Bourne Legacy
2345737,223,The Rover
2692250,223,Night at the Museum: Secret of the Tomb
2205697,223,Stuck in Love
1618442,223,The Last Witch Hunter
485947,223,Mr. Nobody
1245526,222,RED
103064,222,Terminator 2: Judgment Day
2649554,221,Midnight Special
1869716,221,The East
1499658,221,Horrible Bosses
1637688,220,In Time
1684233,219,Welcome to the Punch
1706593,219,Chronicle
892769,219,How to Train Your Dragon
1156398,219,Zombieland
416449,219,300
3416742,218,What We Do in the Shadows
4034354,217,Swiss Army Man
3042408,217,Who Am I
1293847,217,xXx: Return of Xander Cage
107207,216,In the Name of the Father
1187043,215,3 Idiots
78748,215,Alien
5186714,214,The Salesman
1043726,214,The Legend of Hercules
217505,214,Gangs of New York
3469046,213,Despicable Me 3
363163,213,Downfall
2267968,212,Kung Fu Panda 3
1305806,212,The Secret in Their Eyes
62622,212,2001: A Space Odyssey
2347569,211,Frances Ha
52357,211,Vertigo
1136608,210,District 9
4287320,209,The Circle
2869728,209,Ride Along 2
3949660,208,Teenage Mutant Ninja Turtles: Out of the Shadows
3717490,208,Power Rangers
970179,208,Hugo
3850214,207,Dope
2140379,207,Self/less
1049413,207,Up
936501,207,Taken
425112,207,Hot Fuzz
34583,207,Casablanca
2614684,206,'71
1985966,206,Cloudy with a Chance of Meatballs 2
1683526,206,Detachment
121765,206,Star Wars: Episode II - Attack of the Clones
3410834,205,Allegiant
3647498,205,Blood Father
2058673,205,Point Break
837562,205,Hotel Transylvania
365748,205,Shaun of the Dead
119174,205,The Game
3168230,204,Mr. Holmes
119008,204,Donnie Brasco
1547234,203,Premium Rush
78788,203,Apocalypse Now
3713166,202,Unfriended
3195644,202,Insidious: Chapter 3
1764651,202,The Expendables 2
1791528,202,Inherent Vice
1189340,202,The Lincoln Lawyer
3522806,201,Mechanic: Resurrection
4500922,201,Maze Runner: The Death Cure
2273657,201,True Story
1615065,201,Savages
2592614,200,Resident Evil: The Final Chapter
3169706,200,Pride
2226597,200,The Mountain Between Us
1201607,200,Harry Potter and the Deathly Hallows: Part 2
829482,200,Superbad
2223990,198,Draft Day
2006295,198,The 33
2231461,198,Rampage
409459,198,Watchmen
75686,198,Annie Hall
1840417,197,The Words
1981128,197,Geostorm
1389096,197,Stand Up Guys
795461,197,Scary Movie 5
449059,197,Little Miss Sunshine
1411697,196,The Hangover Part II
783233,196,Atonement
5247022,195,Paterson
3348730,195,Jigsaw
1862079,195,Safety Not Guaranteed
2058107,195,The Railway Man
325980,195,Pirates of the Caribbean: The Curse of the Black Pearl
105695,195,Unforgiven
2304771,194,Mandela: Long Walk to Freedom
1974419,194,The Neon Demon
241527,194,Harry Potter and the Philosopher's Stone
2239822,193,Valerian and the City of a Thousand Planets
1602620,193,Amour
1371150,193,This Is Where I Leave You
1051904,193,Goosebumps
120735,193,"Lock, Stock and Two Smoking Barrels"
97165,193,Dead Poets Society
3863552,192,Bajrangi Bhaijaan
1839492,192,Ruby Sparks
2234003,192,Calvary
825232,192,The Bucket List
107048,192,Groundhog Day
2359024,191,Blue Ruin
1990314,191,Robot & Frank
1193138,191,Up in the Air
1967545,190,Labor Day
1601913,190,The Grey
458525,190,X-Men Origins: Wolverine
1231583,189,Due Date
72890,189,Dog Day Afternoon
3606756,188,Incredibles 2
2436386,188,Project Almanac
2382009,188,Nymphomaniac: Vol. II
2265398,188,Drinking Buddies
1292566,187,How to Be Single
1307068,187,Seeking a Friend for the End of the World
57012,187,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
278504,186,Insomnia
70735,186,The Sting
1985949,185,The Angry Birds Movie
4901306,184,Perfect Strangers
381061,184,Casino Royale
2884018,183,Macbeth
2473682,183,Paranormal Activity: The Marked Ones
1458169,183,Kidnap
88247,183,The Terminator
240772,182,Ocean's Eleven
2870648,181,Amy
1212428,181,The Lost City of Z
1480295,180,Killing Season
1014763,180,Child 44
381849,180,3:10 to Yuma
90605,180,Aliens
2866360,179,Coherence
1931435,179,The Big Wedding
1077368,179,Dark Shadows
401792,179,Sin City
92005,179,Stand by Me
2404425,178,Woman in Gold
1033575,178,The Descendants
454848,178,Inside Man
166924,178,Mulholland Drive
54953,178,The Guns of Navarone
2402157,177,The November Man
2258858,177,Wadjda
2013293,177,The Wind Rises
2053425,177,Rust and Bone
258463,177,The Bourne Identity
5541240,176,To the Bone
2737050,176,"Two Days, One Night"
2357291,176,Rio 2
378194,176,Kill Bill: Vol. 2
4846232,175,Good Time
3072482,175,Hardcore Henry
1413495,175,Paranoia
1426329,175,Lovelace
446029,175,Scott Pilgrim vs. the World
114746,175,Twelve Monkeys
1615147,174,Margin Call
910970,174,WALLE
499549,174,Avatar
328107,174,Man on Fire
1440129,173,Battleship
864835,173,Mr. Peabody & Sherman
338751,173,The Aviator
357413,173,Anchorman: The Legend of Ron Burgundy
73195,173,Jaws
1850397,172,The Loft
1282140,172,Easy A
887912,172,The Hurt Locker
985699,172,Valkyrie
309698,172,Identity
81398,172,Raging Bull
2870756,171,Magic in the Moonlight
2823054,171,Mike and Dave Need Wedding Dates
2567026,171,Alice Through the Looking Glass
1029360,171,Poltergeist
95016,171,Die Hard
2404233,170,Gods of Egypt
1735898,170,Snow White and the Huntsman
1374992,170,Upside Down
1298649,170,The Watch
198781,170,"Monsters, Inc."
3715320,169,Irrational Man
2463288,169,Walk of Shame
1850457,169,Sisters
1259528,169,Den of Thieves
1010048,169,Slumdog Millionaire
3716530,168,Elle
2910904,168,The Dressmaker
2718492,168,Ida
1568338,168,Man on a Ledge
1647668,168,Million Dollar Arm
1216491,168,Kill the Messenger
1152836,168,Public Enemies
1120985,168,Blue Valentine
304141,168,Harry Potter and the Prisoner of Azkaban
119822,168,As Good as It Gets
95765,168,Cinema Paradiso
2548396,167,The Cloverfield Paradox
2726560,167,The Longest Ride
1430612,167,Brick Mansions
765429,167,American Gangster
319061,167,Big Fish
120903,167,X-Men
3605418,166,Knock Knock
3014866,166,Criminal
1458175,166,The Next Three Days
1645170,166,The Dictator
1531901,166,Byzantium
1124035,166,The Ides of March
824747,166,Changeling
87843,166,Once Upon a Time in America
5294550,165,All the Money in the World
2382396,165,Joe
352248,165,Cinderella Man
4190530,164,Anthropoid
3045616,164,Mortdecai
1606389,164,The Vow
3262342,163,Loving Vincent
1790886,163,The Campaign
480249,163,I Am Legend
800080,163,The Incredible Hulk
99077,163,Awakenings
117381,163,Primal Fear
4158096,162,Free Fire
2870612,162,"As Above, So Below"
2103254,162,Tammy
1179031,162,Cold in July
898367,162,The Road
375679,162,Crash
110357,162,The Lion King
95327,162,Grave of the Fireflies
4695012,161,It Comes at Night
4226388,161,Victoria
1781769,161,Anna Karenina
2094018,161,Hours
1608290,161,Zoolander 2
884328,161,The Mist
765443,161,Eastern Promises
369339,161,Collateral
108550,161,What's Eating Gilbert Grape
99674,161,The Godfather: Part III
1837703,160,The Fifth Estate
1691917,160,Planes
2051879,160,Europa Report
1648179,160,Here Comes the Boom
2717822,159,Blackhat
2494362,159,Bone Tomahawk
358273,159,Walk the Line
2361317,158,Live by Night
1515091,158,Sherlock Holmes: A Game of Shadows
1596345,158,Pawn Sacrifice
298203,158,8 Mile
54698,158,Breakfast at Tiffany's
82971,158,Raiders of the Lost Ark
376994,157,X-Men: The Last Stand
5168192,156,"I, Daniel Blake"
5308322,156,Happy Death Day
440963,156,The Bourne Ultimatum
4005402,155,Colonia
3203616,155,The Cobbler
2401878,155,Anomalisa
1389137,155,We Bought a Zoo
1229238,155,Mission: Impossible - Ghost Protocol
1528071,155,Horns
988045,155,Sherlock Holmes
71315,155,Chinatown
2788732,154,Pete's Dragon
2452386,154,The Fundamentals of Caring
1741273,154,Secret in Their Eyes
1403865,154,True Grit
295297,154,Harry Potter and the Chamber of Secrets
433035,154,Real Steel
119396,154,Jackie Brown
5390504,153,Detroit
1694020,153,The Guilt Trip
1409024,153,Men in Black 3
1121096,153,Seventh Son
1028532,153,Hachi: A Dog's Tale
3289956,152,The Autopsy of Jane Doe
1961175,152,American Assassin
1966604,152,The Imposter
97937,152,My Left Foot: The Story of Christy Brown
1825157,151,The Double
814314,151,Seven Pounds
217869,151,Unbreakable
2378281,150,Instructions Not Included
1340800,150,Tinker Tailor Soldier Spy
1486834,150,What If
435761,150,Toy Story 3
99785,150,Home Alone
100157,150,Misery
3442006,149,Cake
5164214,149,Ocean's 8
2024519,149,The Broken Circle Breakdown
1401152,149,Unknown
3401882,148,Fist Fight
2170299,148,Bad Words
2230358,148,Curse of Chucky
1598778,148,Contagion
488120,148,Fracture
266543,148,Finding Nemo
330373,148,Harry Potter and the Goblet of Fire
2404461,147,The Past
257044,147,Road to Perdition
382932,147,Ratatouille
347149,147,Howl's Moving Castle
353969,147,Memories of Murder
175880,147,Magnolia
4136084,146,Florence Foster Jenkins
3205376,146,Slow West
1911658,146,Penguins of Madagascar
1673434,146,The Twilight Saga: Breaking Dawn - Part 2
1711525,146,Office Christmas Party
1582507,146,House at the End of the Street
787524,146,The Man Who Knew Infinity
317705,146,The Incredibles
